object_name,path,object_size,object_type,parant_directory
HW,HW8_Serialization,5718,directory,['HW8_Serialization']
LEC,HW8_Serialization,25465,directory,['HW8_Serialization']
SEM,HW8_Serialization,6815,directory,['HW8_Serialization']
result.json,HW8_Serialization,0,file,['HW8_Serialization']
result.pickle,HW8_Serialization,0,file,['HW8_Serialization']
result.csv,HW8_Serialization,0,file,['HW8_Serialization']
task6_work_class.py,HW8_Serialization/HW,1725,file,"['HW8_Serialization', 'HW']"
task3.py,HW8_Serialization/HW,3483,file,"['HW8_Serialization', 'HW']"
task7_to_class.py,HW8_Serialization/HW,504,file,"['HW8_Serialization', 'HW']"
new_names_tab,HW8_Serialization/HW,6,file,"['HW8_Serialization', 'HW']"
json,HW8_Serialization/LEC,5661,directory,"['HW8_Serialization', 'LEC']"
csv,HW8_Serialization/LEC,12533,directory,"['HW8_Serialization', 'LEC']"
pickle,HW8_Serialization/LEC,7271,directory,"['HW8_Serialization', 'LEC']"
task6_json.py,HW8_Serialization/LEC/json,1105,file,"['HW8_Serialization', 'LEC', 'json']"
task4_json.py,HW8_Serialization/LEC/json,143,file,"['HW8_Serialization', 'LEC', 'json']"
task5_json.py,HW8_Serialization/LEC/json,694,file,"['HW8_Serialization', 'LEC', 'json']"
user.json,HW8_Serialization/LEC/json,468,file,"['HW8_Serialization', 'LEC', 'json']"
task1_json.py,HW8_Serialization/LEC/json,1139,file,"['HW8_Serialization', 'LEC', 'json']"
new_user.json,HW8_Serialization/LEC/json,264,file,"['HW8_Serialization', 'LEC', 'json']"
task3_json.py,HW8_Serialization/LEC/json,951,file,"['HW8_Serialization', 'LEC', 'json']"
task2_json.py,HW8_Serialization/LEC/json,897,file,"['HW8_Serialization', 'LEC', 'json']"
task3.py,HW8_Serialization/LEC/csv,3034,file,"['HW8_Serialization', 'LEC', 'csv']"
task6.py,HW8_Serialization/LEC/csv,1793,file,"['HW8_Serialization', 'LEC', 'csv']"
task2.py,HW8_Serialization/LEC/csv,631,file,"['HW8_Serialization', 'LEC', 'csv']"
biostats_new.csv,HW8_Serialization/LEC/csv,978,file,"['HW8_Serialization', 'LEC', 'csv']"
task5.py,HW8_Serialization/LEC/csv,1150,file,"['HW8_Serialization', 'LEC', 'csv']"
new_biostats.csv,HW8_Serialization/LEC/csv,366,file,"['HW8_Serialization', 'LEC', 'csv']"
task1.py,HW8_Serialization/LEC/csv,2851,file,"['HW8_Serialization', 'LEC', 'csv']"
biostats.csv,HW8_Serialization/LEC/csv,424,file,"['HW8_Serialization', 'LEC', 'csv']"
biostats_tab.csv,HW8_Serialization/LEC/csv,424,file,"['HW8_Serialization', 'LEC', 'csv']"
task4.py,HW8_Serialization/LEC/csv,882,file,"['HW8_Serialization', 'LEC', 'csv']"
task_from_work.py,HW8_Serialization/LEC/pickle,291,file,"['HW8_Serialization', 'LEC', 'pickle']"
task3.py,HW8_Serialization/LEC/pickle,1095,file,"['HW8_Serialization', 'LEC', 'pickle']"
my_dict.pickle,HW8_Serialization/LEC/pickle,179,file,"['HW8_Serialization', 'LEC', 'pickle']"
task2.py,HW8_Serialization/LEC/pickle,540,file,"['HW8_Serialization', 'LEC', 'pickle']"
task5.py,HW8_Serialization/LEC/pickle,1111,file,"['HW8_Serialization', 'LEC', 'pickle']"
task1.py,HW8_Serialization/LEC/pickle,1962,file,"['HW8_Serialization', 'LEC', 'pickle']"
task4.py,HW8_Serialization/LEC/pickle,1686,file,"['HW8_Serialization', 'LEC', 'pickle']"
quest.pickle,HW8_Serialization/LEC/pickle,407,file,"['HW8_Serialization', 'LEC', 'pickle']"
result.txt,HW8_Serialization/SEM,130,file,"['HW8_Serialization', 'SEM']"
result.json,HW8_Serialization/SEM,196,file,"['HW8_Serialization', 'SEM']"
new_names_level.json,HW8_Serialization/SEM,500,file,"['HW8_Serialization', 'SEM']"
task3.py,HW8_Serialization/SEM,750,file,"['HW8_Serialization', 'SEM']"
result.pickle,HW8_Serialization/SEM,178,file,"['HW8_Serialization', 'SEM']"
new_names_level.csv,HW8_Serialization/SEM,59,file,"['HW8_Serialization', 'SEM']"
task2.py,HW8_Serialization/SEM,1534,file,"['HW8_Serialization', 'SEM']"
task5.py,HW8_Serialization/SEM,707,file,"['HW8_Serialization', 'SEM']"
task1.py,HW8_Serialization/SEM,1029,file,"['HW8_Serialization', 'SEM']"
new_names_level.pickle,HW8_Serialization/SEM,218,file,"['HW8_Serialization', 'SEM']"
names_level.json,HW8_Serialization/SEM,69,file,"['HW8_Serialization', 'SEM']"
task4.py,HW8_Serialization/SEM,1372,file,"['HW8_Serialization', 'SEM']"
names_level.pickle,HW8_Serialization/SEM,73,file,"['HW8_Serialization', 'SEM']"
